"MF_rel","DBF_rel","DNF_rel","EBF_rel","ENF_rel","lat"
0.270749796466018,0.265603426388343,0,0.0180494813309258,0.445597295814714,-54.0624999955937
0.418055549371426,0.152339196855958,0,0.0125443470725376,0.417060906700079,-54.0208333289312
0.473261417710154,0.104314158860969,0,0.0158571457710687,0.406567277657808,-53.9791666622687
0.366857163021078,0.182607684418257,0.000322407211460988,0.0193358805222624,0.430876864826941,-53.9374999956062
0.328737210329366,0.22547940289954,0,0.0470416916529603,0.398741695118134,-53.8749999956125
0.340062732848952,0.105406966517477,0,0.0666363813874695,0.487893919246101,-53.8124999956187
0.361512432952893,0.0890064203224132,0,0.0516629240190515,0.497818222705642,-53.7708333289562
0.354483739139007,0.109918827146815,0,0.00916171910896049,0.526435714605217,-53.7291666622937
0.279252663344246,0.0824455500531312,0.000758609839856616,0.0356912272922924,0.601851949470474,-53.6874999956312
0.334011753215939,0.104851198940592,0,0.0125193260263129,0.548617721817156,-53.6249999956375
0.365971405807007,0.110669892414991,0,0.00283906505463482,0.520519636723366,-53.5624999956437
0.427209533785963,0.135257490109073,0,0.00224688437762919,0.435286091727334,-53.5208333289812
0.428849972755583,0.108062851926961,0,0,0.463087175317455,-53.4791666623187
0.37831101027392,0.117900227223354,0,0.00103557766526616,0.50275318483746,-53.4374999956562
0.334345741272118,0.19137834590865,0,0.00242552123499628,0.471850391584235,-53.3749999956625
0.279052398152229,0.184852935325354,0,0.0490313100112415,0.487063356511176,-53.3124999956687
0.292878198504925,0.238478447031773,0,0.0112093877189623,0.457433966744339,-53.2708333290062
0.312086360774256,0.221211857781563,0,0.00371049450929586,0.462991286934885,-53.2291666623437
0.248345454153036,0.157866756710984,0,0.00833256005988812,0.585455229076092,-53.1874999956812
0.183917007573447,0.187199363661507,0,0.0210184168161143,0.607865211948932,-53.1249999956875
0.331523699587574,0.0366882050973399,0,0.00843957361979293,0.623348521695293,-53.0624999956937
0.327900228932761,0.0701677367784889,0,0.0131609208409291,0.588771113447821,-53.0208333290312
0.475629331195337,0.087115314493964,0,0.0342367036905819,0.403018650620117,-52.9791666623687
0.462630656475406,0.0419871271718795,0,0.0414329502984153,0.4539492660543,-52.9374999957062
0.45216520379575,0.085594573709401,0,0.0161417900888108,0.446098432406039,-52.8749999957125
0.390212446840438,0.237163892588035,0,0.010076805429061,0.362546855142466,-52.8124999957187
0.384625245343082,0.129262083815666,0,0.00254568239613638,0.483566988445115,-52.7708333290562
0.209574145747414,0.0238898033419627,0,0.00138764678949499,0.765148404121128,-52.7291666623937
0.0948865593072434,0.0445168368092117,0,0.00596463518024791,0.854631968703297,-52.6874999957312
0.163132611449029,0.00336424935533707,0,0.0207574326722197,0.812745706523415,-52.6249999957375
